feature,pred_0,pred_1
RAWNET,-0.01,0.01
FSSLTDE2,0.0,-0.0
FSGA,0.0,-0.0
FSTANF,0.03,-0.03
FSASSET,-0.03,0.03
FSSSI,0.02,-0.02
FSNONCIT,0.02,-0.02
FSSTDDE2,0.04,-0.04
SHELDED,0.12,-0.12
REALPROP,0.0,0.0
TANF_IND,0.02,-0.02
HWGT,0.06,-0.06
RAWERND,-0.02,0.02
WRK_POOR,-0.01,0.01
FSERNDED,-0.01,0.01
FSUNEARN,0.02,-0.02
FSNETINC,-0.0,0.0
TPOV,-0.0,0.0
FSERNDE2,-0.01,0.01
FSNELDER,0.0,-0.0
CERTHHSZ,0.01,-0.01
FSWAGES,-0.01,0.01
FSTOTDED,-0.02,0.02
FSTOTDE2,-0.01,0.01
FSUSIZE,-0.01,0.01
FSSLTDED,0.11,-0.11
FSGRINC,-0.0,0.0
FSDIS,0.0,-0.0
FSEARN,-0.01,0.01
LIQRESOR,-0.02,0.02
FSVEHAST,0.0,0.0
VEHICLEA,-0.01,0.01
