state,SHELDED,FSSLTDED,HWGT,FSSTDDE2,FSTANF,FSASSET,FSUNEARN,LIQRESOR,FSSSI,FSNONCIT,FSTOTDED,TANF_IND,RAWERND,RAWNET,FSTOTDE2
Alabama,224,211,3826,169,3,0,463,0,124,0,477,0,70,401,411
Alaska,252,255,834,222,55,154,537,154,82,0,637,0,88,546,458
Arizona,194,194,5353,140,3,0,362,0,83,0,471,0,91,434,383
Arkansas,129,132,1807,162,1,115,498,92,178,0,377,0,61,479,324
California,314,330,29938,125,98,0,333,0,0,0,592,0,88,284,450
Colorado,341,340,3335,152,27,0,474,0,108,0,592,0,69,334,479
Connecticut,510,500,3138,128,27,0,581,0,139,0,737,0,56,266,593
Delaware,222,237,1218,157,11,0,494,0,120,0,513,0,88,481,439
District of Columbia,235,260,865,129,63,0,436,0,138,0,470,0,40,352,287
Florida,309,311,19742,165,5,0,499,0,143,0,572,0,78,384,504
Georgia,223,225,8391,146,1,0,461,0,120,0,481,0,62,375,397
Guam,245,80,429,257,8,0,172,0,0,0,600,0,154,486,460
Hawaii,115,120,1546,222,30,0,546,0,132,0,434,0,69,511,381
Idaho,330,227,842,171,3,63,476,42,145,0,514,0,86,466,435
Illinois,247,257,13933,139,5,0,428,0,119,0,518,0,71,353,430
Indiana,246,258,3627,170,1,32,485,32,151,0,520,0,75,419,443
Iowa,222,223,2131,163,14,1,482,1,118,0,510,0,96,532,427
Kansas,263,276,1307,174,8,152,485,147,159,0,551,0,77,409,465
Kentucky,156,163,3318,154,10,0,474,0,168,0,399,0,56,426,328
Louisiana,208,213,6281,153,1,82,430,82,162,0,449,0,51,313,370
Maine,415,416,1119,184,26,261,703,217,161,0,655,0,65,426,600
Maryland,261,259,5320,152,28,0,507,0,104,0,554,0,76,413,475
Massachusetts,473,457,5550,140,29,0,633,0,174,0,719,0,52,299,588
Michigan,358,365,9548,144,6,28,513,28,150,0,639,0,74,379,508
Minnesota,302,308,2545,166,0,0,580,0,182,0,583,0,86,513,502
Mississippi,161,162,2780,148,3,0,428,0,110,0,414,0,63,403,341
Missouri,250,259,4369,160,5,129,501,128,144,0,525,0,58,361,436
Montana,308,319,904,161,37,0,480,0,101,0,595,0,89,423,505
Nebraska,286,289,1040,163,19,64,494,63,122,0,569,0,88,463,467
Nevada,183,194,2964,141,12,0,388,0,96,0,454,0,79,419,363
New Hampshire,382,383,823,167,42,134,707,130,172,0,632,0,64,468,556
New Jersey,381,380,6210,169,6,0,595,0,164,0,649,0,80,421,575
New Mexico,199,200,2689,152,17,0,395,0,107,0,457,0,78,402,381
New York,514,505,20324,147,32,0,639,0,126,0,770,0,68,334,632
North Carolina,251,259,7051,154,3,0,437,0,103,0,548,0,97,460,462
North Dakota,335,343,641,150,14,0,496,0,107,0,646,0,75,327,542
Ohio,301,306,8730,164,13,0,564,0,161,0,554,0,68,429,476
Oklahoma,188,192,3068,150,3,0,398,0,123,0,441,0,67,380,352
Oregon,304,304,4860,145,20,0,488,0,107,0,561,0,63,343,460
Pennsylvania,415,413,14056,155,12,0,566,0,151,0,672,0,74,384,555
Rhode Island,464,452,1546,152,22,0,609,0,167,0,697,0,56,315,571
South Carolina,186,189,3592,152,7,0,471,0,100,0,455,0,63,408,381
South Dakota,347,348,676,132,30,286,445,253,68,0,623,0,72,313,494
Tennessee,158,160,5409,146,5,137,431,137,133,0,391,0,48,349,325
Texas,250,250,22052,170,3,0,435,0,131,0,540,0,94,436,467
Utah,234,244,1031,159,14,214,428,212,117,0,528,0,94,455,447
Vermont,650,648,717,145,37,0,749,0,148,0,918,0,58,282,757
Virgin Islands,60,68,702,126,6,0,271,0,0,0,341,0,79,386,287
Virginia,191,195,5276,169,14,161,524,161,161,0,448,0,58,422,389
Washington,306,304,7074,139,18,0,457,0,53,0,562,0,73,375,445
West Virginia,231,220,2279,155,3,0,529,0,155,0,448,0,54,438,354
Wisconsin,275,281,4038,165,10,0,558,0,138,0,571,0,91,524,490
Wyoming,254,254,497,165,2,187,460,168,105,0,557,0,86,429,461
